$Well : 150
DEPTH      GR         CALI       NPHI       RHOB       LLS        LLD        DT         PayFlag    PERM_core  PHI_core   PHIE       ResFlag    SW_core    SW         VCL_core   VWCL       
M          GAPI       IN         V/V        G/C3       OHMM       OHMM       us/f                                        Dec                              Dec                   Dec        
$Format : 11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
3298.0456  83.1411    12.1380    0.1664     2.4359     4.0976     4.3579     75.3237    0.0000     -999.0000  -999.0000  0.1412     0.0000     -999.0000  0.7414     -999.0000  0.1426     
3298.1980  80.2943    12.1588    0.1705     2.4328     3.8519     4.0513     75.7784    0.0000     -999.0000  -999.0000  0.1471     0.0000     -999.0000  0.7209     -999.0000  0.1120     
3298.3504  80.5863    12.1736    0.1669     2.4320     3.6237     3.7889     76.1980    0.0000     -999.0000  -999.0000  0.1435     0.0000     -999.0000  0.7679     -999.0000  0.1243     
3298.5028  79.2725    12.1643    0.1683     2.4341     3.6693     3.8203     76.5870    0.0000     -999.0000  -999.0000  0.1451     0.0000     -999.0000  0.7459     -999.0000  0.1103     
3298.6552  81.2828    12.1598    0.1631     2.4373     3.7481     3.8934     76.5371    0.0000     -999.0000  -999.0000  0.1380     0.0000     -999.0000  0.7690     -999.0000  0.1426     
3298.8076  85.2759    12.1598    0.1645     2.4387     3.7374     3.8796     76.5528    0.0000     -999.0000  -999.0000  0.1373     0.0000     -999.0000  0.7655     -999.0000  0.1632     
3298.9600  87.6248    12.1656    0.1626     2.4397     3.7409     3.8797     76.7742    0.0000     -999.0000  -999.0000  0.1364     0.0000     -999.0000  0.7750     -999.0000  0.1539     
3299.1124  88.4361    12.1678    0.1628     2.4389     3.6934     3.8394     76.8901    0.0000     -999.0000  -999.0000  0.1379     0.0000     -999.0000  0.7705     -999.0000  0.1540     
3299.2648  86.9133    12.1620    0.1622     2.4338     3.7451     3.8975     76.8813    0.0000     -999.0000  -999.0000  0.1411     0.0000     -999.0000  0.7492     -999.0000  0.1366     
3299.4172  86.4089    12.1540    0.1601     2.4243     3.7852     3.9721     76.8787    0.0000     -999.0000  -999.0000  0.1453     0.0000     -999.0000  0.7341     -999.0000  0.1151     
3299.5696  85.7624    12.1633    0.1592     2.4208     3.6309     3.8468     77.3639    0.0000     -999.0000  -999.0000  0.1455     0.0000     -999.0000  0.7536     -999.0000  0.1153     
3299.7220  83.3057    12.1505    0.1613     2.4225     3.4530     3.6869     77.7938    0.0000     -999.0000  -999.0000  0.1446     0.0000     -999.0000  0.7652     -999.0000  0.1269     
3299.8744  83.0364    12.1553    0.1618     2.4250     3.4663     3.7265     78.1999    0.0000     -999.0000  -999.0000  0.1435     0.0000     -999.0000  0.7538     -999.0000  0.1329     
3300.0268  83.6815    12.1598    0.1664     2.4261     3.5978     3.8954     78.0373    0.0000     -999.0000  -999.0000  0.1436     0.0000     -999.0000  0.7265     -999.0000  0.1503     
3300.1792  85.0223    12.1598    0.1678     2.4289     3.6652     4.0084     77.9986    0.0000     -999.0000  -999.0000  0.1415     0.0000     -999.0000  0.7390     -999.0000  0.1531     
3300.3316  86.0631    12.1656    0.1635     2.4338     3.3289     3.6763     77.9938    0.0000     -999.0000  -999.0000  0.1383     0.0000     -999.0000  0.8109     -999.0000  0.1410     
3300.4840  84.4241    12.1563    0.1519     2.4382     3.1787     3.5601     78.0890    0.0000     -999.0000  -999.0000  0.1356     0.0000     -999.0000  0.8374     -999.0000  0.1145     
3300.6364  85.0647    12.1576    0.1520     2.4362     3.1634     3.5586     78.4157    0.0000     -999.0000  -999.0000  0.1382     0.0000     -999.0000  0.8165     -999.0000  0.1275     
3300.7888  87.4930    12.1540    0.1619     2.4351     3.1486     3.5381     77.7176    0.0000     -999.0000  -999.0000  0.1401     0.0000     -999.0000  0.7942     -999.0000  0.1570     
3300.9412  85.8919    12.1489    0.1725     2.4330     3.1209     3.5005     77.1967    0.0000     -999.0000  -999.0000  0.1436     0.0000     -999.0000  0.7755     -999.0000  0.1631     
3301.0936  86.1622    12.1449    0.1742     2.4344     3.1349     3.5053     77.0208    0.0000     -999.0000  -999.0000  0.1409     0.0000     -999.0000  0.7817     -999.0000  0.1718     
3301.2460  85.0549    12.1510    0.1685     2.4340     3.2252     3.5927     76.8951    0.0000     -999.0000  -999.0000  0.1402     0.0000     -999.0000  0.7823     -999.0000  0.1541     
3301.3984  86.6274    12.1581    0.1629     2.4343     3.2742     3.6369     76.8783    0.0000     -999.0000  -999.0000  0.1390     0.0000     -999.0000  0.7968     -999.0000  0.1416     
3301.5508  86.5153    12.1540    0.1574     2.4345     3.1835     3.5138     76.8624    0.0000     -999.0000  -999.0000  0.1389     0.0000     -999.0000  0.8254     -999.0000  0.1271     
3301.7032  83.9974    12.1489    0.1567     2.4319     3.1216     3.4142     76.7882    0.0000     -999.0000  -999.0000  0.1410     0.0000     -999.0000  0.8245     -999.0000  0.1239     
3301.8556  84.0562    12.1607    0.1576     2.4274     3.0714     3.3180     76.5767    0.0000     -999.0000  -999.0000  0.1433     0.0000     -999.0000  0.8249     -999.0000  0.1208     
3302.0080  82.1589    12.1615    0.1643     2.4290     3.0307     3.2571     76.0939    0.0000     -999.0000  -999.0000  0.1447     0.0000     -999.0000  0.8172     -999.0000  0.1315     
3302.1604  82.6808    12.1540    0.1735     2.4354     3.0260     3.2423     75.7785    0.0000     -999.0000  -999.0000  0.1435     0.0000     -999.0000  0.8173     -999.0000  0.1477     
3302.3128  84.2982    12.1576    0.1711     2.4420     3.0265     3.2412     75.5127    0.0000     -999.0000  -999.0000  0.1376     0.0000     -999.0000  0.8477     -999.0000  0.1606     
